2022-08-16 07:39:48,450 INFO    Thread-62 :103 [upload_job.py:push():138] Uploaded file /tmp/tmp8xzb_8mgwandb/8q2ufkt4-media/table/learning_curve_1_e1e02da4552e6e1a6488.table.json
2022-08-16 07:39:48,470 INFO    Thread-56 :103 [dir_watcher.py:_on_file_modified():292] file/dir modified: /usr/src/volume/volume/notebooks/wandb/run-20220816_073936-3gipe6yr/files/output.log
2022-08-16 07:39:50,011 INFO    Thread-64 :103 [upload_job.py:push():96] Uploaded file /root/.cache/wandb/artifacts/obj/md5/e5/87d9a028a95f7918e04725e79a23ba
2022-08-16 07:39:51,614 INFO    SenderThread:103 [sender.py:send_request_log_artifact():1207] logged artifact run-3gipe6yr-summary_metrics - {'id': 'QXJ0aWZhY3Q6MTczNTUyMDc4', 'digest': '44c32f434471cd5bf31f46a11a7662c0', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI1OTY2MDEw', 'latestArtifact': None}, 'version': 'latest'}
2022-08-16 07:39:51,624 DEBUG   SenderThread:103 [sender.py:send():302] send: files
2022-08-16 07:39:51,634 INFO    SenderThread:103 [sender.py:_save_file():1156] saving file media/table/summary_metrics_0_62c2ecfd9d3d700ce563.table.json with policy now
2022-08-16 07:39:51,642 DEBUG   SenderThread:103 [sender.py:send():302] send: history
2022-08-16 07:39:51,649 DEBUG   SenderThread:103 [sender.py:send():302] send: summary
2022-08-16 07:39:51,664 INFO    SenderThread:103 [sender.py:_save_file():1156] saving file wandb-summary.json with policy end
2022-08-16 07:39:51,671 DEBUG   SenderThread:103 [sender.py:send():302] send: config
2022-08-16 07:39:51,675 DEBUG   SenderThread:103 [sender.py:send_request():316] send_request: log_artifact
2022-08-16 07:39:52,489 INFO    Thread-56 :103 [dir_watcher.py:_on_file_modified():292] file/dir modified: /usr/src/volume/volume/notebooks/wandb/run-20220816_073936-3gipe6yr/files/output.log
2022-08-16 07:39:52,494 INFO    Thread-56 :103 [dir_watcher.py:_on_file_modified():292] file/dir modified: /usr/src/volume/volume/notebooks/wandb/run-20220816_073936-3gipe6yr/files/wandb-summary.json
2022-08-16 07:39:54,733 INFO    Thread-67 :103 [upload_job.py:push():96] Uploaded file /root/.cache/wandb/artifacts/obj/md5/a1/6e5a27beb9dd5dbc4fee0f70326512
2022-08-16 07:39:56,338 INFO    SenderThread:103 [sender.py:send_request_log_artifact():1207] logged artifact run-3gipe6yr-learning_curve - {'id': 'QXJ0aWZhY3Q6MTczNTUyMTA3', 'digest': 'de7e72cecc57bb918f21694ed302d716', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI1OTY2MDE2', 'latestArtifact': None}, 'version': 'latest'}
2022-08-16 07:39:56,348 DEBUG   SenderThread:103 [sender.py:send():302] send: files
2022-08-16 07:39:56,356 INFO    SenderThread:103 [sender.py:_save_file():1156] saving file media/table/learning_curve_1_e1e02da4552e6e1a6488.table.json with policy now
2022-08-16 07:39:56,363 DEBUG   SenderThread:103 [sender.py:send():302] send: history
2022-08-16 07:39:56,369 DEBUG   SenderThread:103 [sender.py:send():302] send: summary
2022-08-16 07:39:56,384 INFO    SenderThread:103 [sender.py:_save_file():1156] saving file wandb-summary.json with policy end
2022-08-16 07:39:56,390 DEBUG   SenderThread:103 [sender.py:send():302] send: stats
2022-08-16 07:39:56,501 INFO    Thread-56 :103 [dir_watcher.py:_on_file_modified():292] file/dir modified: /usr/src/volume/volume/notebooks/wandb/run-20220816_073936-3gipe6yr/files/wandb-summary.json
2022-08-16 07:39:57,357 INFO    Thread-68 :103 [upload_job.py:push():138] Uploaded file /tmp/tmp8xzb_8mgwandb/2a1ooyr5-media/table/learning_curve_1_e1e02da4552e6e1a6488.table.json
2022-08-16 07:39:58,273 INFO    Thread-65 :103 [upload_job.py:push():138] Uploaded file /tmp/tmp8xzb_8mgwandb/1hzf383d-media/table/summary_metrics_0_62c2ecfd9d3d700ce563.table.json
